AppID,Name,Price,English,French,Italian,German,Spanish-Spain,Russian,Japanese,SimplifiedChinese,TraditionalChinese,Korean,Polish,Portuguese,Turkish,Czech,Portuguese-Brazil,Hungarian,Dutch,Ukrainian,Danish,Arabic,Spanish-LatinAmerica,Thai,Finnish,Norwegian,Romanian,Swedish,Greek,Vietnamese,Bulgarian,Slovakian,Portuguese-Portugal,Indonesian,Hindi,Catalan,None
570,Dota 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
641780,The Drone Racing League Simulator,9.99,9.99,,,,,,,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
993990,Hunger Apartment ï¼ˆèš€ç‹±ï¼‰,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,,2.99,,,,,,,,,,2.99,,,,,,2.99,,,,,,,
1077730,HRDINA,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
216110,Tiny Troopers,4.99,4.99,4.99,4.99,4.99,4.99,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
340470,You Are Not a Banana: Better Edition,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267980,Hostile Waters: Antaeus Rising,2.99,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264000,Son of Nor,19.99,19.99,19.99,19.99,19.99,19.99,19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443630,Chicku,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15160,PetzÂ® HorsezÂ® 2,9.99,9.99,9.99,,,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883360,Beyond Blue,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,,,19.99,,19.99,,19.99,,,,,,,,,,,,,,,,,,
247430,Hitman: Contracts,8.99,8.99,8.99,8.99,8.99,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963690,Hentai Girl Hime,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,,,,,,
740040,Play With Gilbert - Remake,6.74,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223830,Xenonauts,24.99,24.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603700,The Low Road,14.99,14.99,14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394870,Office Battle,0.49,0.49,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
